cooldown,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_positions,utilization,final_value,trading_cost
0,0.20467964134228825,0.05934252813335994,0.2736662736085439,0.49332994815279924,0.3969465648854962,1.0626458041333464,131,0.7334152334152334,0.07334152334152334,12046796.413422883,2313219.6463915436
1,-0.11830827397959921,-0.038230417038216835,-0.017973126965701004,0.46313199824336854,0.358974358974359,0.9561647871861596,117,0.6339066339066339,0.06339066339066339,8816917.260204008,1590240.6667460273
2,-0.08109461363372449,-0.02584225305747312,0.012410620622397856,0.46259839342994485,0.34782608695652173,0.971206573821647,115,0.6105651105651105,0.061056511056511054,9189053.863662755,1605058.3081860286
3,-0.13255803110014666,-0.04306964788900769,-0.047136802032156234,0.4504783916957534,0.36792452830188677,0.9452360042369233,106,0.5896805896805897,0.05896805896805897,8674419.688998533,1431584.3098271235
5,-0.2456961982943004,-0.08358856502072554,-0.17532900884095787,0.5410964914124651,0.40707964601769914,0.90007171643747,113,0.6498771498771498,0.06498771498771498,7543038.017056996,1513943.5668305242
7,-0.3067827404915534,-0.10723743531111019,-0.2287550168239414,0.6297308412666062,0.37383177570093457,0.8764480882566749,107,0.585995085995086,0.0585995085995086,6932172.595084466,1546713.4089699325
10,0.10689376333429161,0.03193993356157865,0.15843884303605194,0.38666583609693117,0.4117647058823529,1.0571938959747371,102,0.6105651105651105,0.061056511056511054,11068937.633342916,1388886.2466008626
14,-0.2857057304865647,-0.0989208191690788,-0.24921315399214272,0.6033743231876504,0.38461538461538464,0.8746552957017466,91,0.5687960687960688,0.05687960687960688,7142942.695134353,1404281.7775881717
21,-0.42281944686480194,-0.15645875609873916,-0.5289532529929256,0.55971811031478,0.3815789473684211,0.7603785362665505,76,0.4582309582309582,0.04582309582309582,5771805.531351981,1078360.6303461606
