buy_ret5d_max,sharpe,total_return,mdd,win_rate,pf,trades,sharpe_2023,sharpe_2024,sharpe_2025,sharpe_2026,sharpe_2026Q1,sharpe_2026Q2,058430_buys,058430_sells,058430_pnl,058430_stops
,0.1983903462625976,0.10401533447237417,0.2773625088727328,0.43529411764705883,1.20450951760555,85,,0.0,-1.1296672999363706,1.3623123169635596,0.21861136059635197,6.4203609426435975,3,3,1652352.2735267063,2
100.0,0.1983903462625976,0.10401533447237417,0.2773625088727328,0.43529411764705883,1.20450951760555,85,,0.0,-1.1296672999363706,1.3623123169635596,0.21861136059635197,6.4203609426435975,3,3,1652352.2735267063,2
80.0,0.23651639654589102,0.12066174307817057,0.2773625088727328,0.44047619047619047,1.2443121398311514,84,,0.0,-1.1296672999363706,1.5261045987156003,0.21861136059635197,7.904123466329936,2,2,2498869.999619033,1
70.0,0.23651639654589102,0.12066174307817057,0.2773625088727328,0.44047619047619047,1.2443121398311514,84,,0.0,-1.1296672999363706,1.5261045987156003,0.21861136059635197,7.904123466329936,2,2,2498869.999619033,1
60.0,0.2452485876687769,0.12448053363893598,0.2773625088727328,0.45121951219512196,1.2538090867185032,82,,0.0,-1.1296672999363706,1.5641941600646772,0.21861136059635197,8.271791951108995,1,1,2744541.641793547,0
50.0,0.2452485876687769,0.12448053363893598,0.2773625088727328,0.45121951219512196,1.2538090867185032,82,,0.0,-1.1296672999363706,1.5641941600646772,0.21861136059635197,8.271791951108995,1,1,2744541.641793547,0
45.0,0.2452485876687769,0.12448053363893598,0.2773625088727328,0.45121951219512196,1.2538090867185032,82,,0.0,-1.1296672999363706,1.5641941600646772,0.21861136059635197,8.271791951108995,1,1,2744541.641793547,0
40.0,0.2452485876687769,0.12448053363893598,0.2773625088727328,0.45121951219512196,1.2538090867185032,82,,0.0,-1.1296672999363706,1.5641941600646772,0.21861136059635197,8.271791951108995,1,1,2744541.641793547,0
35.0,0.24819252968811953,0.12576941239326864,0.2764727694845213,0.4567901234567901,1.2569413854834133,81,,0.0,-1.1296672999363706,1.5771983446924116,0.2316334789970931,8.26163941840867,1,1,2744541.641793547,0
30.0,0.24819252968811953,0.12576941239326864,0.2764727694845213,0.4567901234567901,1.2569413854834133,81,,0.0,-1.1296672999363706,1.5771983446924116,0.2316334789970931,8.26163941840867,1,1,2744541.641793547,0
25.0,0.43951421205094343,0.2124852280298707,0.28558813768535124,0.47435897435897434,1.431027237591152,78,,0.0,-0.8982060650196223,2.194226985753391,0.8620439456972925,8.1647745694783,1,1,2914649.287014311,0
20.0,0.43951421205094343,0.2124852280298707,0.28558813768535124,0.47435897435897434,1.431027237591152,78,,0.0,-0.8982060650196223,2.194226985753391,0.8620439456972925,8.1647745694783,1,1,2914649.287014311,0
17.0,0.5654615126841614,0.2746525661002132,0.259391256270576,0.49333333333333335,1.5547495188101803,75,,0.0,-0.8982060650196223,2.8710276694020247,1.5702584920479914,8.166766266509502,1,1,3061937.613973753,0
15.0,0.5242960515055091,0.2500394031729397,0.25338592645285646,0.4864864864864865,1.5544199245604553,74,,0.0,-0.8982060650196223,2.6348638859775915,1.2819605988084921,8.279135631435093,1,1,3053639.680060545,0
12.0,0.3247827228418042,0.16086132299097702,0.2556562336179125,0.515625,1.3435683803363332,64,,0.0,-0.7990981419151373,1.674661438196981,0.7167857468075489,5.381810220768138,0,0,0.0,0
10.0,0.2683442992249679,0.13574621782103985,0.28654001887058933,0.47692307692307695,1.2507088396665393,65,,0.0,-0.7990981419151373,1.4022034863684316,0.59654991193196,4.541509593273495,0,0,0.0,0
8.0,0.3188326592510527,0.15895187164080918,0.27991387392896927,0.46153846153846156,1.321425596709719,65,,0.0,-0.7990981419151373,1.6423845158610948,0.3431435858820833,8.006049595808532,1,1,2952535.668268388,0
5.0,-0.054812436718577315,0.0007630592332504689,0.23901304218431352,0.48333333333333334,1.0064636989738451,60,,0.0,-0.8924206419518794,0.33201213428069154,-0.3521234182219409,2.5189017368742808,0,0,0.0,0
