cooldown,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_positions,utilization,final_value,trading_cost
0,0.19261027925216614,0.05604541965184362,0.26429780952734,0.5010892199480959,0.4032258064516129,1.058704199789657,124,0.714987714987715,0.0714987714987715,59630513.96260831,11595207.11979688
1,-0.10246490554141119,-0.03291297624413503,-0.004529127635984325,0.460367840398511,0.3508771929824561,0.9631281770618564,114,0.5982800982800983,0.05982800982800983,44876754.72292944,8074242.61003577
2,-0.08394275464329272,-0.026778006344764127,0.009825622718387555,0.4636397553436669,0.34545454545454546,0.9703509786763997,110,0.581081081081081,0.058108108108108104,45802862.267835364,8078939.096893591
3,-0.13090894982198834,-0.04250682300192077,-0.040332183024566405,0.4510793791844027,0.3627450980392157,0.9466922941157522,102,0.5601965601965602,0.056019656019656014,43454552.50890058,7246784.956745832
5,-0.23593370531907232,-0.07993303407887087,-0.1610578121157217,0.5403533742892287,0.4036697247706422,0.9056141987818497,109,0.6203931203931204,0.062039312039312046,38203314.734046385,7671322.15038185
7,-0.3058290039016113,-0.10685736405125135,-0.2232423842522435,0.6303357625553676,0.3619047619047619,0.8778811380437189,105,0.5724815724815725,0.05724815724815725,34708549.80491944,7801640.901505742
10,0.06934354899827287,0.020972834314495703,0.12495029526554077,0.4101365078168637,0.3854166666666667,1.0376328762469393,96,0.5773955773955773,0.05773955773955773,53467177.44991364,7046944.74124835
14,-0.2807417466503562,-0.09698683364565575,-0.24074763401184834,0.6030631348041086,0.36363636363636365,0.8777395826692725,88,0.5319410319410319,0.05319410319410319,35962912.66748219,7063253.087790421
21,-0.42220869243139775,-0.15618252102637498,-0.5184605765924182,0.563101872191069,0.3561643835616438,0.763939888411077,73,0.43857493857493857,0.04385749385749386,28889565.378430113,5475255.2945337575
