value_w,momentum_w,quality_w,growth_w,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value
0.325,0.325,0.075,0.275,221.527650582478,4.64469013430889,9.562429454297998,0.24719067747320836,0.45125462772521596,1.55113841282701,2431,11126382529.1239
0.375,0.325,0.075,0.225,213.37562234440864,4.577634657093288,9.559098279482532,0.3052095518480203,0.4478114478114478,1.7417740113437812,2376,10718781117.220432
0.3,0.225,0.275,0.2,230.59864394640402,4.717369801519841,9.461300860155273,0.32867188249624624,0.45002201673271686,1.405331026949175,2271,11579932197.320202
0.2,0.4,0.1,0.3,212.542817509307,4.570687325303674,9.415154611490191,0.2326908422535468,0.441826748822037,1.4643075876726688,2759,10677140875.465351
0.325,0.225,0.25,0.2,223.72256215939638,4.662458542128958,9.388181974006832,0.3553852008879854,0.4538530465949821,1.449764826111655,2232,11236128107.969818
0.3,0.325,0.1,0.275,197.75993815109723,4.444180199189107,9.202535500798254,0.24719067747320836,0.44883158742949236,1.4636338868516159,2482,9937996907.554861
0.375,0.3,0.025,0.3,185.94009898380523,4.338344974599576,9.059552045605404,0.27008209440342323,0.45197255574614065,1.664913643082651,2332,9347004949.190262
0.35,0.325,0.05,0.275,188.25294506855715,4.359405011826718,9.051779284619352,0.24719067747320836,0.44737945492662473,1.5440801879424664,2385,9462647253.427858
0.35,0.225,0.225,0.2,197.89409391611244,4.4453565562891875,8.958412675420359,0.3527452907776461,0.4481216457960644,1.3991287911692054,2236,9944704695.805622
0.2,0.425,0.1,0.275,188.10698054049695,4.358081094234972,8.918857268039034,0.2538108870988515,0.4352183249821045,1.4599730302568712,2794,9455349027.024847
0.275,0.225,0.3,0.2,194.79402032924617,4.418034260889131,8.888904523515928,0.3072437324458636,0.4483370288248337,1.3872551140974607,2255,9789701016.462309
0.325,0.25,0.225,0.2,169.70160677463053,4.185251872829493,8.879513945383446,0.24192658088253347,0.44599745870393903,1.493086578545014,2361,8535080338.731527
