tp,sl,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value,trading_cost
0.15,0.06,95.81194631803737,3.48366273506693,9.716157082447408,0.2098830508979798,0.5022040302267002,1.763320626887756,3176,4840597315.901869,609148988.5981257
0.12,0.05,70.68223966691143,3.0626267160605396,8.910456958347952,0.22188488187325586,0.5001449695563932,1.665641247965561,3449,3584111983.3455715,574519458.2044363
0.15,0.05,74.93729281925617,3.140228714675505,8.834532131612225,0.20627616601686305,0.48594132029339854,1.6570184779019617,3272,3796864640.9628086,585789600.7871884
0.17,0.06,78.39957530527643,3.2012433702065284,8.812469693389597,0.231318783039722,0.49371170590132213,1.7677823837851703,3101,3969978765.2638216,483217843.6761749
0.16,0.06,74.4187512385474,3.1309306824639824,8.67133867699565,0.21588197274693302,0.494596312778131,1.6900141677080853,3146,3770937561.92737,512080292.1726251
0.15,0.08,72.2564123067914,3.0916876892626446,8.620284136674986,0.2122919378657281,0.5145187601957586,1.6435966831641566,3065,3662820615.3395705,508770951.0004256
0.17,0.08,76.23810440103824,3.163367483034955,8.574041658248335,0.22778474063350257,0.5109170305676856,1.7884326908558854,2977,3861905220.0519123,435703452.4180881
0.15,0.07,69.56574053982635,3.0417539794961934,8.51844501581722,0.21102625067002043,0.5067264573991032,1.6378996069058116,3122,3528287026.9913173,505166271.9486749
0.14,0.06,63.39652005385914,2.922229255080381,8.386406287413354,0.20296542493228367,0.5024922118380062,1.657327916715173,3210,3219826002.692957,477992634.94705
0.14,0.05,64.20086499289091,2.9382373155749386,8.380398710098227,0.20389646652610707,0.4886809538182916,1.663720100909763,3313,3260043249.6445456,504371738.72546285
0.17,0.05,68.49401073999522,3.0215084269599872,8.343510887402116,0.22973005377955585,0.47889965614254454,1.7359558275804507,3199,3474700536.9997606,466096907.1902366
0.17,0.07,69.13715464798842,3.033682718827209,8.2505957452408,0.22693070864821022,0.5026333113890717,1.6882276927458721,3038,3506857732.399421,455023706.0605739
0.12,0.06,58.04496987516363,2.812144820702491,8.194874724140202,0.21908664629498642,0.5126979384523453,1.5972434725147295,3347,2952248493.7581816,494601975.70182467
0.18,0.07,67.61215622194945,3.0046918170218975,8.124972665964888,0.25606342226592804,0.49933110367892974,1.706977147390044,2990,3430607811.097472,439038724.9225252
0.16,0.05,62.579798792293204,2.905836826019052,8.102253836435496,0.21142633852998013,0.47883843064565956,1.6444366469556453,3237,3178989939.6146603,493470648.65533876
0.17,0.09,65.64792088722221,2.9667056983532802,8.081969081990731,0.22859016931150072,0.5137801973460361,1.7301215896589153,2939,3332396044.3611107,397479136.7488873
0.18,0.06,64.97765734210144,2.9535715682410495,8.067153498740884,0.2625699342002255,0.4895356442119032,1.6887921689166607,3058,3298882867.1050715,449754328.8349252
0.16,0.09,63.712084556896464,2.928525541312544,8.0205055800847,0.21887400712386543,0.5150602409638554,1.7143921118246075,2988,3235604227.8448234,398900686.29517585
0.18,0.05,62.77390862071299,2.9097455670715004,7.94938273617278,0.26050512185773844,0.4761753494282084,1.707946518618158,3148,3188695431.0356493,442574410.44435036
0.16,0.08,61.77502875587597,2.8895452939179784,7.909098119354611,0.21798098967473306,0.5100759828212752,1.6652577217604667,3027,3138751437.7937984,414481671.1661997
0.12,0.07,54.490379440941865,2.7352651079953647,7.8668940652059645,0.2250392192000903,0.5211786372007366,1.580013730626021,3258,2774518972.0470934,461418982.2829125
0.2,0.06,63.02773372731348,2.9148447381144336,7.793156680684921,0.2612929216783211,0.4856475300400534,1.7285584254986794,2996,3201386686.365674,412114231.0943252
0.19,0.07,61.66004336046992,2.887206126286966,7.739723480050235,0.25770874768261903,0.49796472184531887,1.688454403753357,2948,3133002168.023496,413841129.17650014
0.18,0.08,60.50062696744299,2.8634571527765265,7.735030880616362,0.25834567006488723,0.504778156996587,1.6907615120332498,2930,3075031348.3721495,398902841.90784955
0.14,0.08,53.84999971568616,2.7210656444241246,7.689190455180775,0.2019958831647254,0.5168175937904269,1.5710126476311705,3092,2742499985.784308,433143482.7757001
0.16,0.11,57.798063061580685,2.8069067667752523,7.680228685992348,0.22041980458460228,0.5241235682054842,1.6907374221279825,2881,2939903153.0790343,374449017.6909619
0.15,0.12,55.83462685124443,2.764717517963234,7.664724023085732,0.21594788397870587,0.5283737024221453,1.6178274974887559,2890,2841731342.5622215,406248445.65777534
0.17,0.11,58.33631137948745,2.81830664996066,7.627080310773031,0.22994096364374808,0.5216320787900105,1.6629478339110986,2843,2966815568.9743724,381896159.5256247
0.16,0.07,56.87117924796939,2.787110287349159,7.626564964618792,0.21664131281545895,0.5004846526655896,1.582242247052036,3095,2893558962.3984694,441273436.8215247
0.15,0.09,53.048186043404684,2.703128699732594,7.561257990999956,0.2131635582351704,0.51657824933687,1.569666369817999,3016,2702409302.170234,423149729.63976246
0.12,0.1,50.12262197718162,2.636123955793555,7.5511488063649725,0.2157499778833069,0.5380173243503369,1.5603429837423943,3117,2556131098.8590813,415284221.88092554
0.2,0.05,56.926999141105,2.788308498261477,7.5157682373706365,0.26181959255245235,0.47392438070404175,1.6915212131040922,3068,2896349957.05525,407975472.74475
0.12,0.08,49.35539647131813,2.618127360261437,7.509346279126721,0.22108924156160306,0.5271756204838203,1.527810951225131,3183,2517769823.5659065,443355999.7140993
0.14,0.07,49.26337027039807,2.61595638205237,7.459857891934993,0.20356066723606575,0.5088776157260622,1.5780243358360817,3154,2513168513.5199037,404266212.56009954
0.19,0.06,55.437954479414465,2.75607556892815,7.44846386311936,0.2642353300644279,0.4870689655172414,1.676197356774615,3016,2821897723.970723,395141303.4492747
0.12,0.12,48.00835641898413,2.5860792999826896,7.412581605012011,0.21776208557416793,0.5437375745526839,1.5940573509937865,3018,2450417820.9492064,384434343.69079953
0.15,0.11,50.647249109845184,2.648325769030922,7.389887384472292,0.21503072613015842,0.5264969029593943,1.5622683807200581,2906,2582362455.492259,408007888.6977369
0.19,0.05,53.95215190128748,2.7233381563310193,7.387763458393048,0.2645583715669311,0.47414350355526824,1.6472147288978525,3094,2747607595.064374,416418805.4356238
0.25,0.06,54.6210757412215,2.7381495581463344,7.347748751467953,0.25697677487278725,0.48694424841213835,1.8064633587776446,2834,2781053787.061075,328971280.0789244
0.12,0.09,46.630146498337375,2.552671107983769,7.346038812769438,0.22753572650130408,0.5319693094629157,1.5656739128585444,3128,2381507324.9168687,396098853.59313715
0.18,0.11,54.53531811686474,2.7362574130726482,7.3325734265271825,0.25320448999833334,0.5175594182334161,1.651460304685892,2819,2776765905.843237,366133377.56676215
0.15,0.14,50.238241034062185,2.6388202335886963,7.307244338555605,0.2174180490356144,0.5314586994727593,1.6249039570931514,2845,2561912051.7031093,362737217.80688727
0.17,0.1,53.01209356718374,2.702317101420778,7.30713770294829,0.2289626883557244,0.5167994457914791,1.65939378723043,2887,2700604678.359187,361208804.29081225
0.15,0.1,49.675653677338694,2.625661791307504,7.290242286638808,0.214043437741955,0.5228117607299764,1.5357911620690903,2959,2533782683.866935,420337472.5830628
0.12,0.11,46.470759588840636,2.5487658123819514,7.288470422118091,0.2170151105391209,0.5407431551499348,1.5416164584250716,3068,2373537979.442032,399863814.93797517
0.22,0.06,53.76112426194347,2.7190861767984447,7.285668339051746,0.26358288552390374,0.48612538540596095,1.7729453405669047,2919,2738056213.0971737,333528345.16282535
0.14,0.09,46.89142210884739,2.5590539290513106,7.242091749422666,0.21057650496402947,0.5199607329842932,1.5418218954747482,3056,2394571105.4423695,395606176.6676368
0.14,0.12,47.2891874221981,2.5687263506269815,7.242025992206341,0.20161866612223694,0.5317324185248714,1.6002886561173126,2915,2414459371.109905,361951876.97010005
0.19,0.08,52.542613530564715,2.691726722234182,7.208571536874102,0.26147754654262223,0.5031077348066298,1.627922343322555,2896,2677130676.528236,379963138.8817626
0.18,0.1,52.746149062893984,2.6963256411389427,7.203265616591554,0.2518771916261612,0.5113279888462879,1.6418245969473946,2869,2687307453.144699,363268751.0952995
0.1,0.06,38.991259796661566,2.3546312911431895,7.162034222536478,0.21699127882138008,0.5247496423462089,1.5069020626964171,3495,1999562989.8330784,414311807.7069253
0.16,0.12,49.78062906438598,2.628124498358139,7.151209574657239,0.22159940554578358,0.5232111692844678,1.6203315860755974,2865,2539031453.219299,355731063.3407001
