cooldown,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_positions,utilization,final_value
0,-0.16087799309676365,-0.05285253341017526,-0.7143369435017651,0.22007058507584015,0.4444444444444444,0.40837343491401007,27,0.1855036855036855,0.01855036855036855,8391220.069032364
1,-0.10093338311580997,-0.03240240310666931,-0.624535773931067,0.1953005669668309,0.13333333333333333,0.5190450859875686,15,0.085995085995086,0.0085995085995086,8990666.1688419
2,-0.10093338311580997,-0.03240240310666931,-0.624535773931067,0.1953005669668309,0.13333333333333333,0.5190450859875686,15,0.085995085995086,0.0085995085995086,8990666.1688419
3,-0.10648066112395879,-0.03425459612080928,-0.6414233112495877,0.20035419293140405,0.15384615384615385,0.5043821118314342,13,0.08230958230958231,0.008230958230958232,8935193.388760412
5,-0.16824233266896288,-0.055433739752520084,-0.6558716233433444,0.2542297524076413,0.45,0.29546701907192563,20,0.1597051597051597,0.01597051597051597,8317576.673310371
7,-0.16942853772154376,-0.05585097928578031,-0.6400541696002007,0.26246030383926416,0.3684210526315789,0.3598952673211576,19,0.13636363636363635,0.013636363636363636,8305714.622784562
10,0.018819519940055533,0.005788736011686391,-0.19555687950840983,0.15485339243014534,0.45,1.1043092286615277,20,0.14742014742014742,0.014742014742014743,10188195.199400555
14,-0.07990629761402421,-0.025452425264118284,-0.5623692879222225,0.15510901391378362,0.47058823529411764,0.570851854903453,17,0.13636363636363635,0.013636363636363636,9200937.023859758
21,-0.0723005171733277,-0.022965540920991567,-0.5487690512234678,0.16987560587315934,0.3076923076923077,0.6065891501742441,13,0.08722358722358722,0.008722358722358723,9276994.828266723
