tp,sl,total_return,annualized_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,final_value,trading_cost
0.25,0.06,26.614248293648235,1.9707892219010885,5.296457687350624,0.33064908750619254,0.47206506364922207,1.5427675681696833,2828,1380712414.6824117,232374522.92241362
0.25,0.05,26.541860972404464,1.9682316769299075,5.263070237777469,0.3308799865915129,0.4652777777777778,1.570442427911888,2880,1377093048.6202233,229749828.54991412
0.2,0.07,25.249418174844948,1.9217876263249147,5.107582833438349,0.3581485042584779,0.48249566724436743,1.495987537218169,2885,1312470908.7422473,229927470.25311366
0.25,0.07,24.933865062698846,1.910215774062121,5.105382534669361,0.3337452382823006,0.48030357788218286,1.503442349978563,2767,1296693253.1349423,226580978.6722235
0.25,0.08,24.83602652352903,1.9066086718978554,5.025600700162472,0.3400736689585514,0.48591291620929383,1.5241231523296357,2733,1291801326.1764514,214598123.84943438
0.18,0.05,23.91898631902422,1.8723445104863945,5.008932870179456,0.36578242558766366,0.46003210272873196,1.462397913503999,3115,1245949315.951211,244595706.48399916
0.25,0.11,23.875332631746822,1.870692464361619,4.9537364291223005,0.3674710583069253,0.49454682211357653,1.5423492919648294,2659,1243766631.587341,200460271.30852333
0.17,0.06,23.341206299864936,1.8503192155229184,4.952279588119452,0.3577486056460028,0.4726027397260274,1.4483915778051566,3066,1217060314.9932468,237425726.7560548
0.18,0.06,22.606730926775597,1.8218075313107058,4.878815014534235,0.370859608212485,0.4716981132075472,1.427884659410364,3021,1180336546.33878,241854245.8421205
0.22,0.06,22.108277259322062,1.8021167992031981,4.829233824332399,0.3487773353479165,0.4702851253864651,1.4739817238510147,2911,1155413862.966103,216910782.19201913
0.15,0.06,21.94322505736833,1.795533792667079,4.823749330915226,0.351738349904924,0.47748323219418715,1.4126179419661682,3131,1147161252.8684165,247466256.0053592
0.22,0.08,22.45151774910573,1.8157062482720785,4.814138074327441,0.3454173578915637,0.4871060171919771,1.4747060006078672,2792,1172575887.4552865,212426163.44988105
0.15,0.08,22.074391908178864,1.800767885907952,4.813179762656411,0.35756128387117436,0.49051580698835273,1.433180021108813,3005,1153719595.4089432,229369319.0897973
0.2,0.06,22.01557173190969,1.7984231994434823,4.8130378912383005,0.3654500905074963,0.4707473791004396,1.4491056081741727,2957,1150778586.5954845,226624886.4856271
0.14,0.08,21.69834804955954,1.7857081425948573,4.767155429029328,0.37057615981405917,0.49440052700922266,1.4011159455913602,3036,1134917402.477977,242381565.06428024
